,0.00,88.00,-4177.00
1,0.00,116.00,-1329.00
5,0.00,128.00,-854.00
11,0.00,148.00,-1803.00
19,0.00,170.00,-2563.00
26,0.00,205.00,-2373.00
33,0.00,222.00,-1424.00
41,0.00,212.00,949.00
48,0.00,210.00,189.00
55,0.00,234.00,-2373.00
63,0.00,269.00,-2658.00
70,0.00,275.00,-474.00
77,0.00,263.00,1234.00
85,0.00,266.00,-189.00
92,0.00,298.00,-2658.00
99,0.00,325.00,-2753.00
107,0.00,322.00,759.00
114,0.00,297.00,2753.00
121,0.00,305.00,-759.00
129,0.00,345.00,-3417.00
136,0.00,358.00,-1708.00
143,0.00,345.00,1234.00
151,0.00,331.00,569.00
158,0.00,352.00,-1708.00
165,0.00,374.00,-1519.00
173,0.00,369.00,759.00
180,0.00,357.00,1708.00
187,0.00,347.00,854.00
195,0.00,376.00,-2468.00
202,0.00,379.00,94.00
209,0.00,377.00,94.00
217,0.00,376.00,0.00
224,0.00,380.00,-569.00
231,0.00,377.00,189.00
239,0.00,381.00,-94.00
246,0.00,376.00,759.00
253,0.00,349.00,1898.00
261,0.00,359.00,-854.00
268,0.00,365.00,-759.00
275,0.00,363.00,0.00
283,0.00,352.00,1234.00
290,0.00,343.00,379.00
297,0.00,341.00,189.00
305,0.00,350.00,-1044.00
312,0.00,343.00,379.00
319,0.00,318.00,2183.00
327,0.00,313.00,0.00
334,0.00,310.00,664.00
341,0.00,313.00,-569.00
349,0.00,298.00,1329.00
356,0.00,277.00,1708.00
363,0.00,275.00,94.00
371,0.00,268.00,1329.00
378,0.00,257.00,854.00
385,0.00,234.00,2088.00
393,0.00,234.00,379.00
400,0.00,208.00,1519.00
407,0.00,214.00,-474.00
415,0.00,209.00,379.00
422,0.00,190.00,1898.00
429,0.00,167.00,1519.00
437,0.00,160.00,474.00
444,0.00,152.00,759.00
451,0.00,146.00,-94.00
459,0.00,120.00,2088.00
466,0.00,102.00,1519.00
473,0.00,98.00,569.00
481,0.00,89.00,94.00
488,0.00,77.00,759.00
495,0.00,51.00,1803.00
503,0.00,39.00,569.00
510,0.00,28.00,949.00
517,0.00,16.00,1424.00
525,0.00,-8.00,1803.00
532,0.00,-22.00,854.00
539,0.00,-29.00,949.00
547,0.00,-40.00,379.00
554,0.00,-64.00,1614.00
561,0.00,-73.00,759.00
569,0.00,-82.00,854.00
576,0.00,-100.00,1139.00
583,0.00,-114.00,1614.00
591,0.00,-123.00,664.00
598,0.00,-136.00,759.00
605,0.00,-161.00,2088.00
613,0.00,-158.00,-474.00
620,0.00,-176.00,1519.00
627,0.00,-199.00,2278.00
635,0.00,-209.00,759.00
642,0.00,-219.00,569.00
649,0.00,-230.00,854.00
657,0.00,-231.00,-284.00
664,0.00,-241.00,474.00
671,0.00,-258.00,1519.00
679,0.00,-261.00,569.00
686,0.00,-261.00,189.00
693,0.00,-284.00,1424.00
701,0.00,-296.00,664.00
708,0.00,-304.00,284.00
715,0.00,-300.00,-189.00
723,0.00,-301.00,759.00
730,0.00,-306.00,759.00
737,0.00,-319.00,1044.00
745,0.00,-329.00,854.00
752,0.00,-328.00,189.00
759,0.00,-328.00,189.00
767,0.00,-336.00,854.00
774,0.00,-340.00,0.00
781,0.00,-338.00,-474.00
789,0.00,-342.00,569.00
796,0.00,-340.00,0.00
803,0.00,-339.00,0.00
811,0.00,-340.00,569.00
818,0.00,-338.00,-1139.00
825,0.00,-343.00,379.00
833,0.00,-341.00,-759.00
840,0.00,-353.00,1234.00
847,0.00,-335.00,-1424.00
855,0.00,-335.00,189.00
862,0.00,-324.00,-949.00
869,0.00,-318.00,-569.00
877,0.00,-319.00,-379.00
884,0.00,-311.00,-759.00
891,0.00,-305.00,-284.00
899,0.00,-307.00,94.00
906,0.00,-301.00,-664.00
913,0.00,-292.00,-1234.00
920,0.00,-285.00,-759.00
928,0.00,-277.00,-569.00
935,0.00,-268.00,-569.00
942,0.00,-256.00,-1139.00
950,0.00,-250.00,-664.00
957,0.00,-231.00,-1139.00
964,0.00,-224.00,-949.00
972,0.00,-225.00,189.00
979,0.00,-207.00,-1139.00
986,0.00,-183.00,-2278.00
994,0.00,-182.00,284.00
1001,0.00,-173.00,-1234.00
1008,0.00,-171.00,-759.00
1016,0.00,-145.00,-1424.00
1023,0.00,-129.00,-1329.00
1030,0.00,-129.00,-94.00
1038,0.00,-112.00,-1424.00
1045,0.00,-100.00,-1139.00
1052,0.00,-71.00,-2088.00
1060,0.00,-67.00,-189.00
1067,0.00,-63.00,-569.00
1074,0.00,-53.00,-949.00
1082,0.00,-47.00,-284.00
1089,0.00,-28.00,-1329.00
1096,0.00,-14.00,-1234.00
1104,0.00,2.00,-1614.00
1111,0.00,16.00,-854.00
1118,0.00,33.00,-949.00
1126,0.00,42.00,-1044.00
1133,0.00,55.00,-1424.00
1140,0.00,58.00,-284.00
1173,0.00,74.00,-1044.00
1180,0.00,87.00,-1329.00
1187,0.00,104.00,-854.00
1195,0.00,104.00,-379.00
1202,0.00,110.00,-94.00
1209,0.00,116.00,-379.00
1217,0.00,143.00,-2468.00
1224,0.00,156.00,-759.00
1231,0.00,159.00,-474.00
1239,0.00,160.00,-474.00
1246,0.00,181.00,-1614.00
1253,0.00,192.00,-569.00
1261,0.00,195.00,-189.00
1268,0.00,198.00,-474.00
1275,0.00,210.00,-759.00
1283,0.00,214.00,-189.00
1290,0.00,224.00,-284.00
1297,0.00,231.00,-474.00
1305,0.00,234.00,-379.00
1312,0.00,235.00,-284.00
1319,0.00,257.00,-1993.00
1327,0.00,253.00,0.00
1334,0.00,257.00,0.00
1341,0.00,261.00,-569.00
1349,0.00,266.00,-1139.00
1356,0.00,281.00,-1424.00
1363,0.00,278.00,94.00
1371,0.00,276.00,-379.00
1378,0.00,275.00,-284.00
1385,0.00,284.00,-474.00
1393,0.00,284.00,-284.00
1400,0.00,286.00,-664.00
