,0.00,-140.00,-3512.00
1,0.00,-112.00,-2278.00
5,0.00,-94.00,-949.00
11,0.00,-82.00,-1329.00
19,0.00,-59.00,-2848.00
26,0.00,-24.00,-2278.00
33,0.00,-27.00,664.00
41,0.00,-34.00,94.00
48,0.00,-43.00,569.00
55,0.00,-8.00,-3228.00
63,0.00,6.00,-949.00
70,0.00,16.00,-949.00
77,0.00,-4.00,1044.00
85,0.00,-1.00,854.00
92,0.00,42.00,-3797.00
99,0.00,52.00,-664.00
107,0.00,52.00,284.00
114,0.00,33.00,1898.00
121,0.00,59.00,-2563.00
129,0.00,97.00,-2658.00
136,0.00,101.00,-474.00
143,0.00,87.00,664.00
151,0.00,78.00,759.00
158,0.00,110.00,-2943.00
165,0.00,128.00,-1803.00
173,0.00,126.00,284.00
180,0.00,128.00,94.00
187,0.00,127.00,-569.00
195,0.00,146.00,-1519.00
202,0.00,157.00,-949.00
209,0.00,153.00,189.00
217,0.00,148.00,664.00
224,0.00,165.00,-1234.00
231,0.00,186.00,-1898.00
239,0.00,182.00,664.00
246,0.00,189.00,-854.00
253,0.00,175.00,1614.00
261,0.00,196.00,-2088.00
268,0.00,204.00,-759.00
275,0.00,211.00,0.00
283,0.00,203.00,1044.00
290,0.00,199.00,0.00
297,0.00,209.00,-949.00
305,0.00,220.00,-1044.00
312,0.00,220.00,94.00
319,0.00,213.00,474.00
327,0.00,214.00,-94.00
334,0.00,228.00,-854.00
341,0.00,222.00,0.00
349,0.00,222.00,189.00
356,0.00,216.00,-94.00
363,0.00,228.00,-1234.00
371,0.00,227.00,474.00
378,0.00,221.00,474.00
385,0.00,223.00,-284.00
393,0.00,216.00,474.00
400,0.00,219.00,189.00
407,0.00,222.00,0.00
415,0.00,218.00,-189.00
422,0.00,223.00,-854.00
429,0.00,207.00,1614.00
437,0.00,204.00,94.00
444,0.00,211.00,-854.00
451,0.00,214.00,-569.00
459,0.00,195.00,1898.00
466,0.00,193.00,0.00
473,0.00,193.00,189.00
481,0.00,186.00,284.00
488,0.00,180.00,474.00
495,0.00,170.00,379.00
503,0.00,175.00,-569.00
510,0.00,169.00,759.00
517,0.00,159.00,-94.00
525,0.00,150.00,1044.00
532,0.00,143.00,569.00
539,0.00,146.00,-664.00
547,0.00,136.00,854.00
554,0.00,122.00,664.00
561,0.00,115.00,474.00
569,0.00,101.00,1234.00
576,0.00,109.00,-664.00
583,0.00,92.00,1898.00
591,0.00,82.00,664.00
598,0.00,77.00,189.00
605,0.00,75.00,-189.00
613,0.00,67.00,759.00
620,0.00,53.00,1234.00
627,0.00,47.00,474.00
635,0.00,41.00,379.00
642,0.00,27.00,1614.00
649,0.00,17.00,1614.00
657,0.00,4.00,1044.00
664,0.00,2.00,189.00
671,0.00,0.00,-284.00
679,0.00,-14.00,949.00
686,0.00,-10.00,-189.00
693,0.00,-32.00,1898.00
701,0.00,-33.00,-379.00
708,0.00,-42.00,854.00
715,0.00,-51.00,189.00
723,0.00,-56.00,1044.00
730,0.00,-65.00,284.00
737,0.00,-67.00,379.00
745,0.00,-73.00,474.00
752,0.00,-79.00,1044.00
759,0.00,-88.00,569.00
767,0.00,-102.00,1139.00
774,0.00,-106.00,-284.00
781,0.00,-106.00,189.00
789,0.00,-115.00,1234.00
796,0.00,-129.00,569.00
803,0.00,-131.00,379.00
811,0.00,-135.00,-284.00
818,0.00,-129.00,-664.00
825,0.00,-147.00,949.00
833,0.00,-153.00,94.00
840,0.00,-149.00,-474.00
847,0.00,-157.00,1044.00
855,0.00,-159.00,-379.00
862,0.00,-158.00,-189.00
869,0.00,-169.00,949.00
877,0.00,-173.00,94.00
884,0.00,-176.00,94.00
891,0.00,-177.00,-94.00
899,0.00,-175.00,-379.00
