,0.00,-367.00,5221.00
-1,0.00,-380.00,189.00
-4,0.00,-332.00,-3228.00
-10,0.00,-326.00,-189.00
-18,0.00,-382.00,4747.00
-29,0.00,-423.00,3228.00
-41,0.00,-349.00,-6551.00
-53,0.00,-293.00,-4557.00
-65,0.00,-299.00,1139.00
-78,0.00,-323.00,1519.00
-90,0.00,-308.00,-2278.00
-102,0.00,-242.00,-6076.00
-114,0.00,-205.00,-1898.00
-126,0.00,-197.00,284.00
-139,0.00,-223.00,1993.00
-151,0.00,-176.00,-4082.00
-163,0.00,-100.00,-6171.00
-175,0.00,-70.00,-1803.00
-188,0.00,-89.00,1424.00
-200,0.00,-103.00,569.00
-212,0.00,-41.00,-5411.00
-224,0.00,19.00,-4557.00
-236,0.00,34.00,-284.00
-249,0.00,16.00,2088.00
-261,0.00,21.00,-569.00
-273,0.00,99.00,-6551.00
-285,0.00,132.00,-2183.00
-298,0.00,142.00,-379.00
-310,0.00,116.00,1803.00
-322,0.00,146.00,-2848.00
-334,0.00,212.00,-5316.00
-346,0.00,243.00,-1803.00
-359,0.00,235.00,379.00
-371,0.00,222.00,1234.00
-383,0.00,263.00,-3702.00
-395,0.00,327.00,-5696.00
-408,0.00,331.00,-284.00
-420,0.00,328.00,949.00
-432,0.00,331.00,-664.00
-444,0.00,387.00,-4842.00
-456,0.00,421.00,-2563.00
-469,0.00,426.00,0.00
-481,0.00,419.00,854.00
-493,0.00,426.00,-1614.00
-505,0.00,473.00,-3512.00
-518,0.00,493.00,-1708.00
-530,0.00,497.00,0.00
-542,0.00,479.00,1614.00
-554,0.00,508.00,-2848.00
-566,0.00,545.00,-3038.00
-579,0.00,560.00,-949.00
-591,0.00,550.00,759.00
-603,0.00,534.00,854.00
-615,0.00,564.00,-2563.00
-628,0.00,595.00,-2563.00
-640,0.00,597.00,-379.00
-652,0.00,580.00,1614.00
-664,0.00,577.00,-94.00
-676,0.00,607.00,-2468.00
-689,0.00,613.00,-284.00
-701,0.00,610.00,189.00
-713,0.00,598.00,1234.00
-725,0.00,598.00,-854.00
-738,0.00,619.00,-1424.00
-750,0.00,620.00,94.00
-762,0.00,610.00,569.00
-774,0.00,587.00,1898.00
-786,0.00,598.00,-854.00
-799,0.00,606.00,-569.00
-811,0.00,609.00,-189.00
-823,0.00,580.00,1993.00
-835,0.00,570.00,949.00
-848,0.00,568.00,-284.00
-860,0.00,570.00,94.00
-872,0.00,557.00,1139.00
-884,0.00,533.00,1993.00
-896,0.00,518.00,1139.00
-909,0.00,520.00,-94.00
-921,0.00,517.00,569.00
-933,0.00,488.00,2658.00
-945,0.00,463.00,1803.00
-958,0.00,455.00,474.00
-970,0.00,452.00,284.00
-982,0.00,434.00,1329.00
-994,0.00,408.00,2088.00
-1006,0.00,387.00,1519.00
-1019,0.00,375.00,854.00
-1031,0.00,366.00,759.00
-1043,0.00,345.00,1898.00
-1055,0.00,305.00,2753.00
-1068,0.00,287.00,1519.00
-1080,0.00,280.00,569.00
-1092,0.00,263.00,1424.00
-1104,0.00,231.00,2753.00
-1116,0.00,203.00,2278.00
-1129,0.00,187.00,1329.00
-1141,0.00,182.00,379.00
-1153,0.00,163.00,1614.00
-1167,0.00,131.00,2658.00
-1179,0.00,106.00,1993.00
-1192,0.00,91.00,1044.00
-1204,0.00,74.00,1519.00
-1216,0.00,47.00,2278.00
-1228,0.00,3.00,3512.00
-1241,0.00,-18.00,1708.00
-1253,0.00,-29.00,854.00
-1265,0.00,-41.00,949.00
-1277,0.00,-71.00,2563.00
-1289,0.00,-113.00,3417.00
-1302,0.00,-125.00,949.00
-1314,0.00,-137.00,854.00
-1326,0.00,-159.00,2373.00
-1338,0.00,-193.00,3038.00
-1351,0.00,-222.00,2373.00
-1363,0.00,-235.00,854.00
-1375,0.00,-241.00,569.00
-1387,0.00,-259.00,1898.00
-1399,0.00,-298.00,2943.00
